country,year,hours_per_worker
DEU,1970,1960.449
DEU,1971,1928.538
DEU,1972,1905.509
DEU,1973,1877.0
DEU,1974,1837.596
DEU,1975,1800.829
DEU,1976,1813.297
DEU,1977,1795.818
DEU,1978,1776.881
DEU,1979,1765.023
DEU,1980,1745.688
DEU,1981,1724.153
DEU,1982,1712.987
DEU,1983,1700.126
DEU,1984,1688.562
DEU,1985,1665.532
DEU,1986,1646.589
DEU,1987,1624.457
DEU,1988,1619.272
DEU,1989,1595.844
DEU,1990,1572.814
DEU,1991,1554.071
DEU,1992,1565.105
DEU,1993,1540.173
DEU,1994,1536.58
DEU,1995,1528.897
DEU,1996,1515.496
DEU,1997,1506.156
DEU,1998,1503.01
DEU,1999,1490.267
DEU,2000,1464.534
DEU,2001,1457.354
DEU,2002,1448.336
DEU,2003,1443.067
DEU,2004,1442.652
DEU,2005,1431.893
DEU,2006,1452.421
DEU,2007,1453.857
DEU,2008,1446.892
DEU,2009,1406.77
DEU,2010,1425.368
DEU,2011,1427.183
DEU,2012,1405.995
DEU,2013,1395.734
DEU,2014,1400.007
DEU,2015,1401.59
DEU,2016,1395.829
DEU,2017,1388.212
DEU,2018,1380.726
DEU,2019,1372.045
DEU,2020,1313.566
DEU,2021,1341.88
DEU,2022,1340.14
DEU,2023,1335.274
DEU,2024,1331.451
ESP,1970,2046.445
ESP,1971,2042.168
ESP,1972,2038.095
ESP,1973,2034.019
ESP,1974,2029.952
ESP,1975,2025.893
ESP,1976,2021.829
ESP,1977,2017.729
ESP,1978,1986.616
ESP,1979,1936.477
ESP,1980,1918.344
ESP,1981,1884.258
ESP,1982,1863.152
ESP,1983,1831.047
ESP,1984,1786.953
ESP,1985,1776.945
ESP,1986,1768.919
ESP,1987,1760.893
ESP,1988,1756.83
ESP,1989,1744.841
ESP,1990,1746.823
ESP,1991,1755.84
ESP,1992,1747.813
ESP,1993,1739.787
ESP,1994,1738.796
ESP,1995,1735.916
ESP,1996,1740.426
ESP,1997,1743.212
ESP,1998,1752.442
ESP,1999,1758.401
ESP,2000,1753.089
ESP,2001,1762.652
ESP,2002,1762.219
ESP,2003,1751.272
ESP,2004,1735.051
ESP,2005,1717.967
ESP,2006,1707.05
ESP,2007,1694.868
ESP,2008,1705.075
ESP,2009,1711.16
ESP,2010,1703.215
ESP,2011,1708.592
ESP,2012,1699.222
ESP,2013,1688.109
ESP,2014,1688.149
ESP,2015,1689.956
ESP,2016,1696.839
ESP,2017,1688.791
ESP,2018,1693.496
ESP,2019,1678.23
ESP,2020,1562.677
ESP,2021,1633.474
ESP,2022,1653.44
ESP,2023,1637.986
ESP,2024,1633.531
FRA,1950,2351.0
FRA,1951,2360.0
FRA,1952,2339.0
FRA,1953,2313.0
FRA,1954,2316.0
FRA,1955,2292.0
FRA,1956,2236.0
FRA,1957,2200.0
FRA,1958,2179.0
FRA,1959,2179.0
FRA,1960,2188.0
FRA,1961,2165.0
FRA,1962,2178.0
FRA,1963,2159.0
FRA,1964,2166.0
FRA,1965,2153.0
FRA,1966,2145.0
FRA,1967,2110.0
FRA,1968,2087.0
FRA,1969,2012.0
FRA,1970,1993.0
FRA,1971,1990.0
FRA,1972,1937.0
FRA,1973,1920.0
FRA,1974,1888.0
FRA,1975,1863.0
FRA,1976,1889.0
FRA,1977,1850.0
FRA,1978,1819.0
FRA,1979,1816.0
FRA,1980,1806.0
FRA,1981,1786.0
FRA,1982,1714.0
FRA,1983,1696.0
FRA,1984,1690.0
FRA,1985,1654.0
FRA,1986,1648.0
FRA,1987,1659.0
FRA,1988,1667.0
FRA,1989,1651.0
FRA,1990,1644.851
FRA,1991,1637.782
FRA,1992,1635.152
FRA,1993,1626.686
