[INFO] WTI rows=3613

=== WTI-derived prog_avg (HSV's tau proxy) by country × year ===
year             1990   1995   2000   2005
country                                   
Belgium         0.210  0.235  0.209  0.207
France          0.160  0.156  0.143  0.130
Germany         0.192    NaN  0.196  0.165
Greece          0.176  0.173  0.183  0.176
Italy           0.113  0.140  0.107  0.108
Netherlands     0.182  0.195  0.179  0.191
Spain           0.153  0.153  0.169  0.140
Sweden          0.204  0.213  0.162  0.145
United Kingdom  0.109  0.124  0.138  0.163
United States   0.085  0.104  0.091  0.088
