STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,HOUSEHOLD_TYPE,Household type,INCOME_PRINCIPAL,Earnings of the principal,INCOME_SPOUSE,Earnings of the spouse,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,CIVIL_STATUS,Civil status
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,EST,Estonia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2023,,52.027902,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,CZE,Czechia,NPATR,Net personal average tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW100,100% of average wage,A,Annual,2023,,14.693739,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,LTU,Lithuania,INIAICUGW,Increase in net income after an increase of 1 currency unit in gross wages,XDC,National currency,S_C2,"Single person, 2 children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,0.592674,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,FRA,France,NIAT,Net income after taxes,USD_PPP,"US dollars, PPP converted",S_C0,"Single person, no children",AW167,167% of average wage,_Z,Not applicable,A,Annual,2023,,67670.348628,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,LVA,Latvia,INIAICUGLC,Increase in net income after an increase of 1 currency unit in gross labour costs,XDC,National currency,C_C2,"Couple, 2 children",AW100,100% of average wage,AW100,100% of average wage,A,Annual,2023,,0.805779,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,TUR,Türkiye,NPATR,Net personal average tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,C_C0,"Couple, no children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,25.40017,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,KOR,Korea,INIAICUGLC,Increase in net income after an increase of 1 currency unit in gross labour costs,XDC,National currency,C_C2,"Couple, 2 children",AW100,100% of average wage,AW100,100% of average wage,A,Annual,2023,,0.883453,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,FRA,France,GLCBT,Gross labour costs before taxes,USD_PPP,"US dollars, PPP converted",S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2023,,83033.896527,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,CZE,Czechia,GEBT,Gross earnings before taxes,USD_PPP,"US dollars, PPP converted",S_C0,"Single person, no children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,25541.833136,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,CZE,Czechia,AV_RITEESSC,Average rate of income tax and employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,12.459568,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,SWE,Sweden,AV_TW,Average tax wedge,PT_COS_LB,Percentage of labour costs,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,38.30815,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,ISR,Israel,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW167,167% of average wage,_Z,Not applicable,A,Annual,2023,,50.743494,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,ESP,Spain,AV_RITEESSC,Average rate of income tax and employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,18.03172,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,LVA,Latvia,AV_RITEESSC,Average rate of income tax and employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,S_C0,"Single person, no children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,22.729713,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,POL,Poland,INIAICUGW,Increase in net income after an increase of 1 currency unit in gross wages,XDC,National currency,S_C2,"Single person, 2 children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,0.760963,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,CAN,Canada,AV_ITR,Average income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,NOEARN_UNEMP,"No earnings, unemployed",A,Annual,2023,,15.983768,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,CZE,Czechia,INIAICUGW,Increase in net income after an increase of 1 currency unit in gross wages,XDC,National currency,C_C0,"Couple, no children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,0.911682,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,MEX,Mexico,AV_RITEESSC,Average rate of income tax and employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW100,100% of average wage,A,Annual,2023,,10.963012,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,OECD_REP,OECD average country,INIAICUGLC,Increase in net income after an increase of 1 currency unit in gross labour costs,XDC,National currency,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2023,,0.865242,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,ESP,Spain,GEBT,Gross earnings before taxes,XDC,National currency,S_C0,"Single person, no children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,20259.042245,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,CHL,Chile,AV_RITEESSC,Average rate of income tax and employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,7,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,CHL,Chile,AV_RITEESSC,Average rate of income tax and employees' social security contributions,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW100,100% of average wage,A,Annual,2023,,7,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,PRT,Portugal,NPMTR_PE,Net personal marginal tax rate of the principal earner,PT_WG_EARN_G,Percentage of gross wage earnings,S_C0,"Single person, no children",AW167,167% of average wage,_Z,Not applicable,A,Annual,2023,,43.93,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,FIN,Finland,AV_ITR,Average income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2023,,21.058532,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,LUX,Luxembourg,AV_ITR,Average income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,C_C2,"Couple, 2 children",AW100,100% of average wage,AW67,67% of average wage,A,Annual,2023,,15.793897,,2,Two,0,Units,A,Normal value,M,Married person
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,GRC,Greece,GEBT,Gross earnings before taxes,XDC,National currency,S_C0,"Single person, no children",AW67,67% of average wage,_Z,Not applicable,A,Annual,2023,,15769.002867,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(1.0),Labour taxation – OECD comparative indicators,I,DNK,Denmark,AV_ITR,Average income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S_C0,"Single person, no children",AW167,167% of average wage,_Z,Not applicable,A,Annual,2023,,41.774613,,2,Two,0,Units,A,Normal value,_Z,Not applicable
